time,discount_factor
0.08333333333333333,0.996373259235472
0.25,0.9891591897487125
0.5,0.9784848256825278
1.0,0.9593493353414723
2.0,0.9231163463866358
3.0,0.8879853800794423
5.0,0.8154623711872927
7.0,0.7405960085489999
10.0,0.6369908421779825
20.0,0.36567877313053654
30.0,0.22046859952901593
